date,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma120,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,stoch_k,stoch_d,atr14,roc12
2023-05-08,42.0,42.85,41.9,42.55,14764789,42.36,42.88,41.7325,39.99583333333333,,,42.28559716265697,41.531220798872276,54.87665973445989,0.7543763637846936,0.864451826702638,-0.11007546291794434,41.7325,45.81383250299455,37.65116749700545,43.93939393939391,45.893892630003755,1.6578414759630549,-2.40825688073395
2023-05-09,42.6,42.9,40.8,40.85,17138734,41.89,42.415000000000006,41.83,40.0375,,,42.06473606070974,41.48075999895581,47.73885861240263,0.5839760617539298,0.8083566737128964,-0.22438061195896664,41.83,45.724919768108165,37.93508023189183,12.195121951219514,33.08650529687116,1.6894242276799796,-7.3696145124716566
2023-05-10,40.9,40.95,39.75,40.1,16546419,41.489999999999995,42.125,41.88,40.075,,,41.762468974446705,41.37848148051464,44.96039979282825,0.383987493932068,0.7234828377567308,-0.33949534382466284,41.88,45.65735357095411,38.1026464290459,5.384615384615406,20.506377091742948,1.6544653542742669,-8.027522935779817
2023-05-11,40.1,40.2,38.6,38.8,16210085,40.8,41.730000000000004,41.842499999999994,40.1075,,,41.30670451683952,41.187482852328365,40.554471254458775,0.11922166451115146,0.602630603107615,-0.4834089385964635,41.842499999999994,45.72506036656221,37.95993963343778,2.7777777777777204,6.7858383712042185,1.6505749718261051,-14.725274725274728
2023-05-12,39.25,39.85,39.0,39.55,10488790,40.370000000000005,41.34,41.885000000000005,40.12083333333333,,,41.03644228347959,41.06618782622997,43.966092333647474,-0.029745542750383436,0.4761553739360153,-0.5059009166863988,41.885000000000005,45.64573131185941,38.1242686881406,13.768115942028926,7.310169701474021,1.6076767595528123,-8.0232558139535
2023-05-15,39.4,39.45,38.7,38.95,7615209,39.65,41.005,41.9225,40.14,,,40.71545116294427,40.90943317243516,41.894640982214725,-0.19398200949088817,0.34212789725063464,-0.5361099067415228,41.9225,45.5480309955922,38.2969690044078,5.263157894736865,7.269683871514508,1.5535569910133253,-8.888888888888879
2023-05-16,39.15,39.45,39.15,39.25,4611102,39.33,40.61,41.8625,40.170833333333334,,,40.48999713787592,40.78651219669922,43.33227175656381,-0.296515058823303,0.21439930603584711,-0.5109143648591501,41.8625,45.62080746480377,38.104192535196226,10.833333333333309,9.954869056699705,1.4783029202266593,-9.666283084004611
2023-05-17,39.35,40.75,39.05,39.95,14521761,39.3,40.394999999999996,41.8775,40.223333333333336,,,40.406920655125774,40.72454833027706,46.64918202629928,-0.31762767515128587,0.10799390979842052,-0.42562158494970637,41.8775,45.60261409221244,38.152385907787554,22.500000000000025,12.865497076023402,1.4941384259247554,-5.5555555555555465
2023-05-18,40.4,42.75,39.9,42.2,40694220,39.980000000000004,40.39,41.807500000000005,40.31083333333333,,,40.68277901587565,40.833841046552834,55.637580308876466,-0.15106203067718127,0.056182721703300166,-0.20724475238048143,41.807500000000005,45.452259937224916,38.16274006277509,60.00000000000002,31.111111111111125,1.5909856812158445,-2.314814814814814
2023-05-19,42.4,44.7,42.2,42.5,66676184,40.57000000000001,40.470000000000006,41.727500000000006,40.394999999999996,,,40.962351474971705,40.95726022828966,56.685429206805786,0.005091246682042083,0.04596442669904855,-0.04087318001700647,41.727500000000006,45.23513096690627,38.219869033093744,63.93442622950816,48.81147540983608,1.6559152754147128,0.9501187648456089
2023-05-22,43.1,45.0,43.1,43.7,58061271,41.52,40.585,41.7325,40.4925,,,41.3835281711299,41.160426137305244,60.68561025759585,0.22310203382465943,0.08139194812417073,0.1417100857004887,41.7325,45.251061495838854,38.21393850416115,79.68750000000003,67.87397540983608,1.7162070414565191,3.4319526627218933
2023-05-23,44.35,44.8,43.2,43.7,37132425,42.410000000000004,40.87,41.6425,40.5875,,,41.73990845249453,41.34854271972708,60.68561025759585,0.39136573276745423,0.14338670505282744,0.2479790277146268,41.6425,44.84925458992417,38.435745410075825,79.68750000000003,74.43647540983608,1.707906538495339,4.796163069544357
2023-05-24,43.75,44.85,43.2,43.9,28786230,43.2,41.25,41.6875,40.63,,,42.072230229033835,41.53753955530285,61.37510515940584,0.5346906737309851,0.221647498788459,0.3130431749425261,41.6875,44.99293113678076,38.38206886321924,82.81249999999999,80.72916666666669,1.7037703571742433,3.1727379553466495
2023-05-25,44.5,44.5,43.5,43.5,13701744,43.46,41.72,41.725,40.700833333333335,,,42.29188711687478,41.68290699565079,59.141102846109405,0.6089801212239934,0.2991140232755659,0.30986609794842745,41.725,45.09419871779623,38.35580128220377,76.5625,79.68750000000001,1.6535010459475117,6.487148102815166
2023-05-26,44.0,44.0,42.15,42.15,23801666,43.39,41.980000000000004,41.66,40.755,,,42.27005832966328,41.717506477454435,52.23108909839829,0.5525518522088433,0.3498015890622214,0.20275026314662187,41.66,44.94262090409473,38.37737909590526,55.468749999999964,71.61458333333331,1.6675366855226896,5.112219451371569
2023-05-29,43.05,45.15,43.0,44.05,45688488,43.46,42.489999999999995,41.7475,40.85583333333333,,,42.54389550971508,41.89028377542078,59.417791850505196,0.6536117342943015,0.41056361810863745,0.24304811618566408,41.7475,45.18340963210614,38.311590367893864,83.20610687022898,71.74578562340965,1.7627126365567833,13.530927835051543
2023-05-30,44.4,44.95,43.35,43.6,19611431,43.44,42.925,41.7675,40.920833333333334,,,42.70637312360507,42.0169294216859,57.222000959297496,0.689443701919167,0.4663396348707434,0.22310406704842362,41.7675,45.24144228507034,38.293557714929655,76.33587786259545,71.67024491094146,1.7510903053741562,10.240202275600518
2023-05-31,43.8,45.45,43.7,45.0,47518531,43.66,43.43,41.9125,41.01583333333334,,,43.059238796896594,42.23789761267213,61.93503050652753,0.8213411842244653,0.5373399447414878,0.2840012394829775,41.9125,45.66108306563957,38.16391693436043,93.3333333333333,84.29177268871923,1.7581552835617167,15.532734274711157
2023-06-01,45.4,46.6,45.1,45.35,63386669,44.029999999999994,43.745000000000005,42.067499999999995,41.119166666666665,,,43.411663597374044,42.468423715437154,63.031597261101744,0.9432398819368899,0.6185199321805682,0.3247199497563217,42.067499999999995,46.10436450107007,38.03063549892992,84.17721518987342,84.61547546193405,1.7468584775930227,15.541401273885347
2023-06-02,45.75,49.85,45.5,49.85,96226855,45.57000000000001,44.480000000000004,42.475,41.267500000000005,,,44.40217689008573,43.01520714392329,73.57279526126047,1.3869697461624355,0.7722098949769417,0.6147598511854938,42.475,47.73983617978753,37.21016382021247,100.0,92.50351617440224,1.9435114434792353,24.78097622027533
2023-06-05,50.4,52.6,50.0,51.2,87360702,47.0,45.230000000000004,42.907500000000006,41.43333333333333,,,45.447995830072536,43.62148809622527,75.80197526450792,1.826507733847265,0.9830694627510065,0.8434382710962586,42.907500000000006,49.40321204718928,36.411787952810734,89.6678966789668,91.28170395628007,2.0011177689450044,21.327014218009488
2023-06-06,51.6,51.7,46.8,49.2,85051047,48.120000000000005,45.78,43.325,41.54333333333333,,,46.02522724083061,44.034711200208584,66.81070824391483,1.9905160406220261,1.1845587783252105,0.8059572622968156,43.325,50.29418216148781,36.355817838512195,73.22834645669293,87.63208104521992,2.208180785448933,15.764705882352947
2023-06-07,49.2,49.55,47.85,48.1,41373634,48.74,46.2,43.725,41.66166666666666,,,46.344423049933596,44.335843703896835,62.42493810767511,2.008579346036761,1.3493628918675207,0.6592164541692405,43.725,50.82496478864507,36.625035211354934,56.937799043062206,73.27801405957398,2.1718821579168663,10.068649885583515
2023-06-08,47.95,49.05,46.9,47.2,34147967,49.11,46.57000000000001,44.145,41.78833333333333,,,46.47605027302073,44.548003429534106,59.01165662451916,1.9280468434866265,1.465099682191342,0.46294716129528446,44.145,51.020165452554565,37.26983454744544,48.32535885167467,59.49716811714327,2.17031914663709,8.00915331807781
2023-06-09,47.55,48.3,47.35,47.9,20239273,48.72,47.144999999999996,44.5625,41.91333333333333,,,46.695119461786774,44.79629947179084,60.806664756984446,1.8988199899959355,1.5518437437522608,0.34697624624367474,44.5625,51.28320494814345,37.84179505185655,55.02392344497606,53.429027113237645,2.093867779020155,9.111617312072884
2023-06-12,48.05,48.55,47.4,47.6,20578779,48.0,47.5,44.995,42.0325,,,46.83433185228112,45.00398099239892,59.601976669271124,1.830350859882195,1.6075451669782477,0.22280569290394725,44.995,51.316779812679314,38.67322018732068,52.153110047846894,51.83413078149922,2.0264486519472866,9.425287356321842
2023-06-13,47.6,48.2,46.65,47.55,22465151,47.67,47.895,45.410000000000004,42.1475,,,46.944434644237866,45.192574992961966,59.390785412545696,1.7518596512759004,1.6364080638377783,0.11545158743812212,45.410000000000004,51.23928812120312,39.58071187879689,51.674641148325335,52.9505582137161,1.9924166053796237,12.811387900355875
2023-06-14,48.0,48.3,46.65,47.0,23991620,47.45,48.095000000000006,45.7625,42.25916666666667,,,46.952983160508964,45.326458326816635,56.998272273404766,1.6265248336923293,1.6344314178086885,-0.00790658411635925,45.7625,51.05654146187011,40.468458538129894,46.411483253588514,50.07974481658692,1.9679582764239363,6.69693530079456
2023-06-15,47.0,49.0,46.65,48.45,42432197,47.7,48.405,46.075,42.39666666666666,,,47.18329344350759,45.55783178408948,61.41174455846831,1.6254616594181073,1.6326374661305723,-0.007175806712464983,46.075,51.226941381654086,40.92305861834592,56.77083333333335,51.618985911749064,1.9952469709650837,11.123853211009171
2023-06-16,48.45,49.4,47.7,47.7,34705634,47.660000000000004,48.190000000000005,46.335,42.525,,,47.262786759891036,45.716510911193964,58.09066853109208,1.5462758486970714,1.6153651426438722,-0.06908929394680086,46.335,51.25882981021885,41.41117018978115,47.02702702702704,50.06978120464964,1.9741579016104347,6.000000000000005
2023-06-19,47.6,47.6,46.65,46.65,18145510,47.47,47.735,46.4825,42.62666666666667,,,47.16851187375395,45.785658251105524,53.71135340000928,1.382853622648426,1.5688628386447832,-0.1860092159963571,46.4825,51.25620663112007,41.70879336887993,33.14606741573029,45.64797592536356,1.9081466229239754,2.866593164277842
2023-06-20,46.9,47.8,46.8,46.9,15069849,47.339999999999996,47.505,46.6425,42.74083333333333,,,47.12720235471488,45.868202084356966,54.589151889475,1.259000270357916,1.5068903249874097,-0.24789005462949376,46.6425,51.24383404568716,42.04116595431284,23.99999999999996,34.72436481425243,1.85399329271512,-5.917753259779346
