date,open,high,low,close,volume,sma5,sma20,sma60,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,stoch_k,stoch_d,atr14,roc12
2025-05-15,131.0,131.0,129.0,130.0,1500934,128.7,123.975,134.99166666666667,127.05666099639268,127.27608983062504,54.3894301567424,-0.21942883423236026,-1.6686367234442034,1.4492078892118432,123.975,132.88272136968814,115.06727863031186,91.66666666666667,86.1111111111111,5.14368436404282,4.8387096774193505
2025-05-16,130.5,131.0,127.5,128.0,2566200,128.6,124.425,134.76666666666668,127.20179007387073,127.3297128061343,51.406125465996084,-0.12792273226357054,-1.360493925208077,1.2325711929445065,124.425,133.19012977656342,115.65987022343657,75.0,87.5,5.026278338039762,0.7874015748031482
2025-05-19,128.0,129.5,122.5,123.0,4823345,127.7,124.65,134.425,126.55536083173676,127.00899333901323,44.7915246530336,-0.45363250727646687,-1.179121641621755,0.7254891343452881,124.65,133.01719785830352,116.2828021416965,33.333333333333336,66.66666666666667,5.167258456751208,-2.3809523809523836
2025-05-20,125.0,126.5,123.0,123.5,2673121,127.0,125.025,134.05833333333334,126.08530531916188,126.74906790649374,45.54609970660988,-0.6637625873318598,-1.076049830763776,0.41228724343191625,125.025,132.4241553572012,117.62584464279882,37.5,48.611111111111114,5.048168566983264,-3.1372549019607843
2025-05-21,124.5,126.0,124.5,125.5,1683011,126.0,125.475,133.7,125.99525834698312,126.65654435786458,48.57388503752384,-0.6612860108814544,-0.9930970667873118,0.33181105590585735,125.475,131.75572448050374,119.19427551949626,54.166666666666664,41.666666666666664,4.86615652648446,2.868852459016402
2025-05-22,124.0,124.5,123.0,123.0,1233164,124.6,125.7,133.275,125.53444937052417,126.38568922024498,45.19132248998728,-0.8512398497208125,-0.964725623374012,0.11348577365319956,125.7,131.24436651025155,120.15563348974844,33.333333333333336,41.666666666666664,4.697145346021284,-1.9920318725099584
2025-05-23,123.5,124.0,122.0,122.5,1332486,123.5,125.8,132.85833333333332,125.06761100582814,126.09786038911572,44.523521314385334,-1.0302493832875825,-0.9778303753567261,-0.05241900793085641,125.8,131.02876658496047,120.57123341503954,29.166666666666668,38.888888888888886,4.5044921070197645,-2.0000000000000018
2025-05-26,123.0,123.5,121.0,122.0,2219709,123.3,125.825,132.49166666666667,124.59567085108534,125.79431517510716,43.826077203901505,-1.1986443240218136,-1.0219931650897436,-0.17665115893207006,125.825,130.97548541401673,120.67451458598327,10.0,24.166666666666668,4.3613140993754955,-5.058365758754868
2025-05-27,123.0,124.5,119.0,119.5,2072216,122.5,125.6,132.05,123.8117214893799,125.3280696065807,40.416986739277135,-1.516348117200792,-1.1208641555119534,-0.3954839616888386,125.6,131.40172388174403,119.79827611825597,4.166666666666667,14.444444444444445,4.442648806562961,-7.003891050583655
2025-05-28,121.5,122.5,119.0,120.5,1939360,121.5,125.275,131.60833333333332,123.30222587562915,124.97043482090805,42.34877335781357,-1.6682089452789057,-1.230333113465344,-0.4378758318135618,125.275,131.44326555848554,119.10673444151446,12.5,8.88888888888889,4.37531674895132,-5.490196078431375
2025-05-29,122.0,123.5,121.0,123.0,1803894,121.5,125.125,131.25833333333333,123.25572958707082,124.82447668602597,46.977108411751466,-1.568747098955157,-1.2980159105633067,-0.2707311883918504,125.125,131.36098428477806,118.88901571522194,33.333333333333336,16.666666666666668,4.27707983831194,-3.149606299212604
2025-06-02,120.0,121.0,116.5,117.5,2579135,120.5,124.625,130.775,122.37023272752145,124.28192285743145,39.46973797086722,-1.9116901299099993,-1.4207507544326452,-0.4909393754773541,124.625,131.58111242002303,117.66888757997697,6.896551724137931,17.576628352490424,4.435859849861088,-9.961685823754785
2025-06-03,118.5,119.0,115.5,115.5,3206157,119.2,124.3,130.25833333333333,121.31327384636431,123.63141005317728,37.14510121372392,-2.318136206812966,-1.6002278449087095,-0.7179083619042563,124.3,132.25235814082833,116.34764185917166,0.0,13.409961685823754,4.369012717728153,-11.153846153846159
2025-06-04,117.5,119.5,116.0,117.5,2734612,118.8,123.9,129.74166666666667,120.72661633153903,123.1772315307197,40.894027556582714,-2.4506151991806604,-1.7703053157630997,-0.6803098834175607,123.9,132.35931439302257,115.44068560697745,12.903225806451612,6.59992584352985,4.342654666461857,-8.203125
2025-06-05,118.0,120.5,117.0,119.5,2507593,118.6,123.625,129.25,120.53790612668688,122.90484400992564,44.461391775476784,-2.366937883238762,-1.8896318292582324,-0.47730605398052983,123.625,132.278756409791,114.97124359020901,25.806451612903224,12.903225806451616,4.282465047428867,-2.8455284552845517
2025-06-06,120.0,123.0,117.5,122.5,3630993,118.5,123.325,128.9,120.8397667225812,122.87485556474596,49.39521527445842,-2.035088842164754,-1.9187232318395369,-0.11636561032521708,123.325,131.69324354330098,114.95675645669903,50.0,29.569892473118284,4.369431829755377,-0.8097165991902799
2025-06-09,120.5,123.0,120.0,122.0,2230800,119.4,123.0,128.60833333333332,121.0182641498764,122.81005144883885,48.619974201657506,-1.791787298962447,-1.893336045264119,0.10154874630167199,123.0,131.03741251896395,114.96258748103605,59.09090909090909,44.965786901270775,4.2716152704871355,-2.7888446215139417
2025-06-10,122.0,124.5,122.0,124.5,2141960,121.2,122.85,128.31666666666666,121.55391581912619,122.93523282299893,52.62372884012278,-1.3813170038727378,-1.790932236985843,0.4096152331131051,122.85,130.65448588953802,115.04551411046195,85.71428571428571,64.93506493506494,4.145071322595197,1.2195121951219523
2025-06-11,124.5,126.0,124.0,125.5,1788964,122.8,122.775,128.01666666666668,122.16100569310677,123.12521557685086,54.16237898156515,-0.9642098837440898,-1.6255877663374925,0.6613778825934027,122.775,130.44621242047165,115.10378757952837,95.23809523809524,80.01443001443002,3.991851942409826,2.448979591836742
2025-06-12,124.5,126.5,124.0,125.0,1449908,123.9,122.5,127.70833333333333,122.59777404801342,123.26408849708413,53.23148067633227,-0.6663144490707111,-1.4337331028841362,0.7674186538134251,122.5,129.399275324264,115.60072467573599,86.36363636363636,89.10533910533911,3.8852910893805532,2.4590163934426146
2025-06-13,124.0,125.0,121.0,121.5,1851202,123.7,122.075,127.30833333333334,122.42888573293443,123.1334152750779,47.12565213718976,-0.7045295421434616,-1.2878923907360014,0.5833628485925397,122.075,128.06060773856743,116.08939226143258,54.54545454545455,78.71572871572872,3.893484582996228,1.673640167364021
2025-06-16,121.0,123.0,120.5,121.5,949386,123.6,121.75,126.86666666666666,122.2859802355599,123.01242155099806,47.12565213718976,-0.7264413154381515,-1.1756021756764314,0.44916086023827995,121.75,127.08385414123765,116.41614585876235,54.54545454545455,65.15151515151517,3.793949969925069,0.8298755186721962
2025-06-17,122.0,124.0,120.0,122.0,1295546,123.1,121.7,126.46666666666667,122.24198327624299,122.93742736203524,48.111741958060016,-0.6954440857922464,-1.0795705576995944,0.38412647190734805,121.7,127.00471488394976,116.39528511605025,59.09090909090909,56.06060606060606,3.8086678292161356,-0.8130081300813052
2025-06-18,120.0,121.0,118.0,119.5,4053074,121.9,121.5,125.93333333333334,121.82013969528253,122.68280311299559,43.72119925570578,-0.8626634177130512,-1.0361891297022858,0.1735257119892346,121.5,126.81977443130798,116.18022556869202,36.36363636363637,50.00000000000001,3.8223344128435546,1.7021276595744705
2025-06-19,119.0,119.5,116.5,117.0,3582003,120.3,121.075,125.3,121.07857974216215,122.26185473425517,39.80890067536146,-1.1832749920930183,-1.0656063021804323,-0.11766868991258606,121.075,126.40674455502118,115.74325544497883,13.636363636363637,36.36363636363637,3.7635962404975865,1.298701298701288
2025-06-20,117.0,118.5,117.0,118.0,3042794,119.6,120.825,124.70833333333333,120.60495208952182,121.946161790977,42.042940664054676,-1.3412097014551847,-1.120726982035383,-0.2204827194198018,120.825,126.24048705104148,115.40951294895852,22.727272727272727,24.24242424242425,3.601910794747759,0.42553191489360653
2025-06-23,117.0,117.5,114.0,117.5,1880558,118.8,120.575,124.10833333333333,120.1272671526723,121.61681647312685,41.21915832964428,-1.4895493204545431,-1.194491449719215,-0.2950578707353282,120.575,126.11823912527666,115.03176087472335,28.0,21.454545454545457,3.630345737980062,-1.673640167364021
2025-06-24,119.0,120.0,118.0,120.0,2368310,118.4,120.475,123.55833333333334,120.10768759072272,121.49705228993227,46.828980154588116,-1.3893646992095512,-1.2334660996172822,-0.15589859959226904,120.475,125.98385650566411,114.96614349433588,48.0,32.909090909090914,3.549606756695772,-2.0408163265306145
2025-06-25,121.0,121.5,119.0,121.0,2048827,118.7,120.55,123.025,120.24496642291922,121.46023360178914,48.92857695005436,-1.2152671788699223,-1.2298263154678102,0.014559136597887878,120.55,126.04454274712627,115.05545725287372,56.0,44.0,3.474634845503217,-0.8196721311475419
2025-06-26,121.0,123.0,120.5,123.0,2795822,119.9,120.675,122.63333333333334,120.66881774247011,121.57429037202698,52.93174385933412,-0.9054726295568685,-1.1649555782856218,0.2594829487287533,120.675,126.27209746207782,115.07790253792217,72.0,58.666666666666664,3.405018070824416,-1.2048192771084376
2025-06-27,123.0,124.5,122.0,122.5,2643943,120.8,120.65,122.35,120.9505380897824,121.64286145558054,51.83779517006185,-0.6923233657981456,-1.0704291357881266,0.378105769989981,120.65,126.20967624956688,115.09032375043313,68.0,65.33333333333333,3.3403739229083866,-2.39043824701195
2025-06-30,122.5,122.5,119.5,121.5,3264327,121.6,120.85,122.04166666666667,121.03507069135433,121.63227912553754,49.62863229752729,-0.5972084341832016,-0.9757849954671416,0.37857656128394,120.85,126.22680202350783,115.47319797649216,60.0,66.66666666666667,3.316061499843502,-2.8000000000000025
2025-07-01,123.0,123.0,119.0,119.0,5819880,121.4,121.025,121.71666666666667,120.72198289268444,121.43729548660883,44.520459873242515,-0.715312593924395,-0.9236905151585924,0.2083779212341974,121.025,125.89814067106606,116.15185932893395,40.0,56.0,3.3649142498546807,-2.0576131687242816
2025-07-02,113.0,116.0,111.0,113.0,16292957,119.8,120.8,121.51666666666667,119.53398552457914,120.81231063574891,35.16543135710873,-1.278325111169778,-0.9946174343608295,-0.2837076768089485,120.8,126.62580466545162,114.97419533454837,14.285714285714286,38.0952380952381,3.695991803436489,-6.995884773662553
2025-07-03,116.0,121.5,116.0,118.5,7034711,118.9,120.75,121.61666666666666,119.37491082849004,120.64102836643418,46.30387564654941,-1.2661175379441403,-1.0489174550774918,-0.2172000828666485,120.75,126.6364250611044,114.8635749388956,55.55555555555556,36.613756613756614,4.039135246048168,-2.868852459016391
2025-07-04,120.0,120.5,115.5,116.0,6154447,117.6,120.425,121.85833333333333,118.85569377795312,120.29724848743906,42.71193493136983,-1.441554709485942,-1.127444905959182,-0.31410980352676,120.425,126.59974695837796,114.25025304162203,37.03703703703704,35.62610229276896,4.1077684427590135,-2.9288702928870314
2025-07-07,117.0,118.5,115.0,118.0,2460276,116.9,120.225,121.96666666666667,118.72404858134495,120.12708193281395,46.30077809944278,-1.4030333514690057,-1.182562595061147,-0.22047075640785874,120.225,126.44171134925837,114.00828865074162,51.851851851851855,48.14814814814815,4.06435641113337,0.8547008547008517
2025-07-08,117.0,118.5,116.0,118.5,2038566,116.8,119.925,121.95833333333333,118.68957956883034,120.0065573451981,47.19145304536253,-1.3169777763677644,-1.2094456313224704,-0.10753214504529396,119.925,125.86027589923145,113.98972410076854,55.55555555555556,48.14814814814815,3.952616667480987,0.4237288135593209
2025-07-09,117.0,119.0,117.0,118.5,2036383,117.9,119.575,121.95833333333333,118.66041348131799,119.89496050481306,47.19145304536253,-1.2345470234950682,-1.21446590975699,-0.020081113738078082,119.575,124.9534291386982,114.19657086130181,55.55555555555556,54.320987654320994,3.8131440483752024,0.8510638297872353
2025-07-10,118.5,119.0,115.5,116.0,2240297,117.4,119.125,121.725,118.25111909957675,119.60644491186395,43.05077391534612,-1.355325812287191,-1.2426378902630304,-0.11268792202416056,119.125,124.10370465081006,114.14629534918994,37.03703703703704,49.382716049382715,3.7907766163484022,-3.3333333333333326
2025-07-11,116.5,116.5,115.0,116.5,1296324,117.5,118.875,121.64166666666667,117.98171616118033,119.37633788135551,44.10705594825152,-1.3946217201751807,-1.2730346562454604,-0.1215870639297203,118.875,123.85370465081006,113.89629534918994,40.74074074074074,44.44444444444445,3.6271497151806593,-3.7190082644628086
2025-07-14,117.0,117.0,114.0,114.0,1454325,116.7,118.5,121.55833333333334,117.36914444407566,118.97809063088474,40.101964792161596,-1.608946186809078,-1.340216962358184,-0.26872922445089387,118.5,123.75357021462526,113.24642978537474,22.22222222222222,33.333333333333336,3.5823533069534697,-7.317073170731703
2025-07-15,114.5,115.5,114.0,115.0,1242287,116.0,118.15,121.5,117.00466068344863,118.6834172508192,42.35671148387279,-1.67875656737057,-1.4079248833606615,-0.27083168400990854,118.15,123.3567264187777,112.94327358122231,29.62962962962963,30.864197530864203,3.433613785028222,-6.122448979591832
2025-07-16,115.0,117.0,114.5,115.0,2017882,115.3,117.925,121.48333333333333,116.69625134753346,118.4105715285363,42.35671148387279,-1.714320181002833,-1.4692039428890957,-0.24511623811373728,117.925,123.26611411598718,112.58388588401282,29.62962962962963,27.160493827160497,3.366927086097635,-5.349794238683126
2025-07-17,116.0,117.0,114.5,117.0,1263267,115.5,117.925,121.49166666666666,116.74298190945139,118.30608474864472,46.98561640333023,-1.5631028391933341,-1.4879837221499435,-0.07511911704339069,117.925,123.26611411598718,112.58388588401282,50.0,36.41975308641975,3.3050037228049467,-1.6806722689075682
2025-07-18,118.0,118.0,116.0,116.5,1358089,115.5,117.85,121.45833333333333,116.7056000772281,118.17230069318956,45.991288156700755,-1.4667006159614573,-1.4837271009122464,0.017026484950789067,117.85,123.22680202350779,112.4731979764922,45.833333333333336,41.820987654320994,3.2117891711760223,3.0973451327433565
2025-07-21,117.0,119.5,116.5,118.0,2688329,116.3,117.875,121.41666666666667,116.90473852688531,118.15953767887922,49.44759735967774,-1.2547991519939075,-1.4379415111285787,0.18314235913467125,117.875,123.24970929446398,112.50029070553602,66.66666666666667,54.166666666666664,3.196661373234878,-0.42194092827003704
2025-07-22,117.0,118.5,114.0,114.0,3158125,116.1,117.575,121.29166666666667,116.45785567659526,117.85142377674002,41.77087614826294,-1.393568100144762,-1.4290668289318154,0.0354987287870534,117.575,123.10921177766062,112.04078822233939,0.0,37.50000000000001,3.289756989432387,-1.7241379310344862
2025-07-23,115.5,117.5,115.0,117.5,1284273,116.6,117.4,121.18333333333334,116.61818557250368,117.82539238587039,49.20223025887998,-1.2072068133667102,-1.3846948258187943,0.17748801245208412,117.4,122.7065996645684,112.09340033543161,53.84615384615385,40.17094017094018,3.3047743473300737,-0.4237288135593209
2025-07-24,117.5,118.0,116.5,117.0,1422666,116.6,117.1,121.01666666666667,116.67692625365696,117.76425220913924,48.2547837114624,-1.0873259554822852,-1.3252210517514926,0.23789509626920746,117.1,121.74327470649726,112.45672529350273,54.54545454545455,36.130536130536136,3.1758618939493544,-1.2658227848101222
2025-07-25,117.0,119.5,117.0,118.0,1547824,116.9,116.875,120.88333333333334,116.88047606078666,117.78171500846226,50.315442263406865,-0.9012389476755942,-1.240424630936313,0.33918568326071874,116.875,120.83574487943837,112.91425512056163,72.72727272727273,60.372960372960385,3.1275860443815433,-0.42194092827003704
2025-07-28,119.0,120.0,117.5,119.0,1170977,117.1,116.75,120.74166666666666,117.20655666681948,117.87195834116876,52.358614125870936,-0.6654016743492832,-1.1254200396189071,0.4600183652696239,116.75,120.2499999999996,113.2500000000004,83.33333333333333,70.20202020202021,3.0827584697828616,2.586206896551735
2025-07-29,119.0,120.0,117.0,117.0,1268396,117.7,116.65,120.65833333333333,117.17477871807802,117.80736883441553,48.098423866779264,-0.6325901163375107,-1.026854054962628,0.3942639386251172,116.65,119.99813380855623,113.30186619144378,50.0,68.68686868686869,3.0768471505126573,0.42918454935623185
2025-07-30,118.5,122.0,118.5,119.0,2526642,118.0,116.95,120.55,117.45558199221986,117.89571188371808,52.27987573052431,-0.44012989149821635,-0.9095092222697456,0.46937933077152927,116.95,119.99795013082519,113.90204986917482,62.5,65.27777777777779,3.2142152111903246,4.385964912280693
2025-07-31,119.0,120.0,118.0,118.0,1215873,118.2,116.925,120.43333333333334,117.53933860880142,117.9034369293686,50.10620981517488,-0.36409832056718017,-0.8004270419292325,0.43632872136205236,116.925,119.92957983751425,113.92042016248574,50.0,54.16666666666668,3.1274855532481585,2.60869565217392
2025-08-01,116.5,127.5,116.0,126.0,7477622,119.8,117.425,120.39166666666667,118.84097882283197,118.50318234200796,63.26493310037405,0.3377964808240108,-0.5727823373785839,0.9105788182025947,117.425,122.3572915566699,112.49270844333009,88.88888888888889,67.12962962962963,3.7255222994447186,9.565217391304337
2025-08-04,124.5,126.0,122.0,124.0,3605597,120.8,117.725,120.31666666666666,119.63467438855012,118.91035402037774,59.070596264240336,0.7243203681723855,-0.31336179626839,1.0376821644407754,117.725,123.43004162999686,112.01995837000312,74.07407407407408,70.98765432098766,3.7451278494843816,5.982905982905984
2025-08-05,125.0,126.5,124.5,125.0,5033841,122.4,118.05,120.275,120.46010909800395,119.36143890775716,60.481368286571566,1.0986701902467928,-0.030955398965353452,1.1296255892121463,118.05,124.57610143960369,111.5238985603963,81.48148148148148,81.48148148148148,3.656190145949783,7.296137339055786
2025-08-06,123.5,124.0,122.0,122.5,2706794,123.1,118.25,120.2,120.77393846754181,119.59392491458996,55.345342538556935,1.1800135529518485,0.21123839141808695,0.9687751615337615,118.25,125.05808343074594,111.44191656925406,62.96296296296296,72.8395061728395,3.6093194212390842,3.813559322033888
2025-08-07,120.5,122.0,116.5,118.5,9877025,123.2,118.375,120.0,120.42410178022769,119.51289343943515,48.28079058289644,0.9112083407925411,0.3512323812929778,0.5599759594995632,118.375,125.10459879933398,111.64540120066602,33.333333333333336,59.25925925925927,3.780082319722007,3.9473684210526327
2025-08-08,119.5,120.5,118.5,118.5,2615486,121.7,118.475,119.80833333333334,120.12808612173112,119.43786429577328,48.28079058289644,0.6902218259578348,0.4190302702259492,0.2711915557318856,118.475,125.1493913580189,111.80060864198109,33.333333333333336,43.209876543209894,3.6529335825990064,0.8510638297872353
2025-08-11,118.5,119.5,117.0,119.0,1993281,120.7,118.725,119.65833333333333,119.95453441069556,119.40542990349378,49.22045276353059,0.5491045072017755,0.4450451176211145,0.10405938958066102,118.725,125.07696819891264,112.37303180108735,32.0,32.8888888888889,3.5705811838419343,1.7094017094017033
2025-08-12,120.0,122.0,119.0,120.5,3416716,119.8,119.0,119.61666666666666,120.03845219366548,119.48650916990165,52.03586763991317,0.5519430237638261,0.4664246988496568,0.08551832491416927,119.0,125.15629758864836,112.84370241135164,39.130434782608695,34.821256038647356,3.529825384996082,2.1186440677966045
2025-08-13,122.0,124.5,120.0,121.5,3628126,119.6,119.325,119.58333333333333,120.26330570233233,119.63565663879783,53.87203107036541,0.6276490635345056,0.4986695717866266,0.12897949174787898,119.325,125.28549494589146,113.36450505410855,47.82608695652174,39.65217391304349,3.599123571782076,2.1008403361344463
2025-08-14,122.5,126.0,122.0,125.0,4767502,120.9,119.725,119.575,120.99202790197351,120.03301540629428,59.68869914526282,0.9590124956792323,0.5907381565651477,0.3682743391140846,119.725,126.06909173956348,113.38090826043651,78.26086956521739,55.07246376811596,3.6634718880833566,6.8376068376068355
