date,open,high,low,close,volume
2023-11-02,26.9,27.2,26.75,27.0,119912
2023-11-03,26.9,27.3,26.8,27.3,130179
2023-11-06,27.3,27.3,27.05,27.15,173956
2023-11-07,27.2,27.3,27.0,27.0,98682
2023-11-08,27.1,27.1,26.85,26.85,118910
2023-11-09,26.95,26.95,26.7,26.7,125910
2023-11-10,26.7,26.7,26.35,26.5,223784
2023-11-13,26.6,27.05,26.5,26.5,200665
2023-11-14,26.5,26.7,26.35,26.55,112624
2023-11-15,26.6,27.05,26.6,26.85,152120
2023-11-16,26.85,27.05,26.65,27.0,169863
2023-11-17,26.8,26.8,26.5,26.7,925028
2023-11-20,26.7,27.15,26.7,27.15,296690
2023-11-21,27.25,27.45,27.0,27.4,453066
2023-11-22,27.2,27.55,27.2,27.45,203610
2023-11-23,27.5,27.55,27.3,27.35,167182
2023-11-24,27.35,27.35,27.2,27.25,99674
2023-11-27,27.25,27.25,27.05,27.05,101294
2023-11-28,27.05,27.5,27.05,27.5,169166
2023-11-29,27.5,27.5,27.25,27.3,190479
2023-11-30,27.4,27.45,27.2,27.35,200749
2023-12-01,27.35,28.05,27.35,28.0,466254
2023-12-04,28.05,28.5,28.0,28.45,556172
2023-12-05,28.5,28.5,27.9,28.15,521834
2023-12-06,28.2,28.45,28.2,28.4,243266
2023-12-07,28.4,28.4,28.0,28.05,268536
2023-12-08,27.95,28.2,27.95,28.1,149930
2023-12-11,28.1,28.2,28.0,28.15,184873
2023-12-12,28.15,28.2,28.1,28.2,98068
2023-12-13,28.2,28.4,28.1,28.3,229672
2023-12-14,28.55,28.65,28.35,28.45,303918
2023-12-15,28.45,28.5,28.3,28.5,197946
2023-12-18,28.55,28.65,28.25,28.3,163123
2023-12-19,28.25,28.25,27.65,27.8,301476
2023-12-20,27.8,27.95,27.8,27.9,167649
2023-12-21,27.8,27.9,27.7,27.7,150877
2023-12-22,27.7,27.85,27.65,27.75,104701
2023-12-25,27.75,27.85,27.6,27.6,136732
2023-12-26,27.6,27.7,27.6,27.7,116182
2023-12-27,27.7,28.15,27.7,28.0,225879
2023-12-28,28.35,28.35,28.0,28.1,151573
2023-12-29,28.25,28.25,27.95,28.0,124136
2024-01-02,28.0,28.0,27.75,27.75,157632
2024-01-03,27.75,27.95,27.6,27.9,131172
2024-01-04,28.1,28.15,27.8,27.8,104549
2024-01-05,27.65,27.7,27.65,27.65,93509
2024-01-08,27.8,27.8,27.45,27.45,185835
2024-01-09,27.5,27.5,26.95,27.1,386655
2024-01-10,27.15,27.15,26.9,26.9,98783
2024-01-11,26.95,27.1,26.9,27.05,82535
2024-01-12,27.15,27.15,26.9,26.9,84245
2024-01-15,26.95,27.05,26.8,26.85,96073
2024-01-16,26.95,29.5,26.65,29.5,6558556
2024-01-17,29.8,31.1,28.15,28.4,10715495
2024-01-18,27.55,28.4,27.55,28.25,1424647
2024-01-19,28.1,28.4,27.7,27.85,742675
2024-01-22,27.85,28.65,27.75,28.05,430205
2024-01-23,28.05,28.6,27.55,27.9,414712
2024-01-24,28.15,29.15,28.1,28.15,1080315
2024-01-25,28.4,28.65,28.2,28.2,360644
2024-01-26,28.45,28.5,28.15,28.25,215603
2024-01-29,28.0,28.25,28.0,28.15,204803
2024-01-30,28.3,28.75,28.05,28.5,335160
2024-01-31,28.5,28.5,28.0,28.0,253163
2024-02-01,28.2,28.25,27.9,28.1,285767
2024-02-02,28.1,28.15,27.9,28.15,248858
2024-02-05,28.2,28.2,27.95,28.2,231372
2024-02-15,28.2,28.5,28.0,28.4,426024
2024-02-16,28.7,29.15,28.6,29.0,890298
2024-02-19,29.45,29.55,29.1,29.1,481297
2024-02-20,29.1,29.25,28.75,28.85,485825
2024-02-21,28.85,29.25,28.85,29.15,366835
2024-02-22,29.5,29.65,29.1,29.4,861613
2024-02-23,29.5,30.65,29.4,29.4,1575680
2024-02-26,29.4,29.5,29.1,29.4,454179
2024-02-27,29.5,29.9,28.85,29.1,445138
2024-02-29,29.1,29.15,28.8,28.95,507143
2024-03-01,29.3,29.3,28.65,28.7,313234
2024-03-04,28.7,28.8,28.6,28.6,400729
2024-03-05,28.6,28.65,28.25,28.4,582675
2024-03-06,28.25,28.95,28.25,28.95,347371
2024-03-07,28.95,29.25,28.35,28.4,469765
2024-03-08,28.6,28.65,27.7,28.05,647272
2024-03-11,28.05,28.4,28.05,28.15,379372
2024-03-12,28.15,28.4,28.15,28.4,294497
2024-03-13,28.4,28.55,27.9,28.1,363209
2024-03-14,28.1,28.45,27.8,27.85,238635
2024-03-15,27.5,27.8,27.45,27.6,398057
2024-03-18,27.5,27.6,27.3,27.5,169069
2024-03-19,27.4,28.2,27.4,28.0,399867
2024-03-20,28.05,28.1,27.9,28.05,247499
2024-03-21,28.15,28.35,28.0,28.25,259880
2024-03-22,28.25,28.8,28.25,28.8,507890
2024-03-25,29.0,29.15,28.75,29.1,409224
2024-03-26,29.15,29.25,28.4,28.8,480010
